Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
UltraS Tank6,Default tag table,Bool,%Q5.2,,True,True,True,,
UltraS Tank7,Default tag table,Bool,%Q5.3,,True,True,True,,
UltraS Tank8,Default tag table,Bool,%Q5.4,,True,True,True,,
UltraS Tank9,Default tag table,Bool,%Q5.5,,True,True,True,,
XL Lift 1_1,Default tag table,Bool,%Q6.0,,True,True,True,,
XL Lift 1_2,Default tag table,Bool,%Q6.1,,True,True,True,,
XL Lift 2_1,Default tag table,Bool,%Q6.2,,True,True,True,,
XL Lift 2_2,Default tag table,Bool,%Q6.3,,True,True,True,,
XL Lift 3_1,Default tag table,Bool,%Q6.4,,True,True,True,,
XL Lift 3_2,Default tag table,Bool,%Q6.5,,True,True,True,,
XL Lift 4_1,Default tag table,Bool,%Q6.6,,True,True,True,,
XL Lift 4_2,Default tag table,Bool,%Q6.7,,True,True,True,,
XL Lift 5_1,Default tag table,Bool,%Q7.0,,True,True,True,,
XL Lift 5_2,Default tag table,Bool,%Q7.1,,True,True,True,,
Red Lamp,Default tag table,Bool,%Q7.2,,True,True,True,,
Yellow Lamp,Default tag table,Bool,%Q7.3,,True,True,True,,
Green Lamp,Default tag table,Bool,%Q7.4,,True,True,True,,
XL_UP_Robot,Default tag table,Bool,%Q7.6,,True,True,True,,
XL_DOWN_Robot,Default tag table,Bool,%Q7.7,,True,True,True,,
FirstScan,Default tag table,Bool,%M1.0,,True,True,True,,
AlwaysTRUE,Default tag table,Bool,%M1.2,,True,True,True,,
Clock_1Hz,Default tag table,Bool,%M0.5,,True,True,True,,
Clock_0.625Hz,Default tag table,Bool,%M0.6,,True,True,True,,
SEND_MoveRack456,Default tag table,Bool,%M2.4,Tín Hiệu Kích Gửi,True,True,True,,
length,Default tag table,Int,%MW4,Biến Lưu Chiều Dài Data cần gửi,True,True,True,,
Edge_2,Default tag table,Bool,%M2.7,Temp Pulse 2,True,True,True,,
MANUAL_STATE,Default tag table,Bool,%M3.1,Chế độ manual,True,True,True,,
AUTO_STATE,Default tag table,Bool,%M3.2,Chế Dộ AUTO,True,True,True,,
HOME_MAN_TRIGGER_PC,Default tag table,Bool,%M3.3,Tín Hiệu Home Manual,True,True,True,,
HOME_AUTO_TRIGGER_PC,Default tag table,Bool,%M3.4,Tín HIệu HOME AUTO,True,True,True,,
SELECT_AXIS_HOME,Default tag table,Int,%MW6,"0-ALL Axis , 1 - AXIS X, 2 - AXIS LIFT",True,True,True,,
Edge_3,Default tag table,Bool,%M3.5,Temp Pulse 3,True,True,True,,
Edge_4,Default tag table,Bool,%M3.6,Temp Pulse 4,True,True,True,,
Edge_5,Default tag table,Bool,%M3.7,Temp 5,True,True,True,,
Edge_6,Default tag table,Bool,%M8.0,Temp6,True,True,True,,
Edge_7,Default tag table,Bool,%M8.1,Temp 7,True,True,True,,
Edge_8,Default tag table,Bool,%M8.2,Temp 8,True,True,True,,
Edge_9,Default tag table,Bool,%M8.3,Temp 9,True,True,True,,
Edge_10,Default tag table,Bool,%M8.4,Temp 10,True,True,True,,
Move_Point_X,Default tag table,Bool,%M8.5,Trigger_Move_Point Axis X,True,True,True,,
Edge_11,Default tag table,Bool,%M8.6,Temp 11,True,True,True,,
Move_Point_LIFT,Default tag table,Bool,%M8.7,Tín Hiệu Move Point Axis LIFT,True,True,True,,
WRITE_DATA_POINT_X,Default tag table,Bool,%M9.0,Trigger Cài đặt điểm,True,True,True,,
Edge_12,Default tag table,Bool,%M9.1,Temp 12,True,True,True,,
Edge_13,Default tag table,Bool,%M9.2,Temp 13,True,True,True,,
WRITE_DATA_POINT_LIFT,Default tag table,Bool,%M9.3,Trigger Set data point Axis LIft,True,True,True,,
Jog_TF_1_FW,Default tag table,Bool,%M9.4,Trigger Jog FW Tranfer 1,True,True,True,,
Edge_14,Default tag table,Bool,%M9.5,Temp 14,True,True,True,,
Edge_15,Default tag table,Bool,%M9.6,Temp 15,True,True,True,,
Edge_16,Default tag table,Bool,%M9.7,Temp 16,True,True,True,,
Edge_17,Default tag table,Bool,%M10.0,Temp 17,True,True,True,,
Jog_TF_1_BW,Default tag table,Bool,%M10.1,Trigger Jog BW Tranfer 1,True,True,True,,
Jog_TF_2_FW,Default tag table,Bool,%M10.2,Trigger Jog FW Tranfer 2,True,True,True,,
Edge_18,Default tag table,Bool,%M10.3,Temp 18,True,True,True,,
Edge_19,Default tag table,Bool,%M10.4,Temp 19,True,True,True,,
Jog_TF_2_BW,Default tag table,Bool,%M10.5,Trigger Jog BW Tranfer 2,True,True,True,,
Edge_20,Default tag table,Bool,%M10.6,Temp 20,True,True,True,,
Edge_21,Default tag table,Bool,%M10.7,Temp 21,True,True,True,,
Run_TF_1_FW,Default tag table,Bool,%M11.0,Trgger Run FW Tranfer 1,True,True,True,,
Edge_22,Default tag table,Bool,%M11.1,Temp 22,True,True,True,,
Edge_23,Default tag table,Bool,%M11.2,Temp 23,True,True,True,,
Run_TF_1_BW,Default tag table,Bool,%M11.3,Trgger Run BW Tranfer 1,True,True,True,,
Edge_24,Default tag table,Bool,%M11.4,Temp 24,True,True,True,,
Edge_25,Default tag table,Bool,%M11.5,Temp 25,True,True,True,,
Run_TF_2_FW,Default tag table,Bool,%M11.6,Trigger Run FW Tranfer 2,True,True,True,,
Edge_26,Default tag table,Bool,%M11.7,Temp 26,True,True,True,,
Edge_27,Default tag table,Bool,%M12.0,Temp 27,True,True,True,,
